CÌ_digo.do.MunicÌ_pio,MunicÌ_pio,Estado,Ano.de.ReferÌ»ncia,Prestadores,ServiÌ_os,IN015_AE...Ìçndice.de.coleta.de.esgoto..percentual.,IN016_AE...Ìçndice.de.tratamento.de.esgoto..percentual.,IN021_AE...ExtensÌ£o.da.rede.de.esgoto.por.ligaÌ_Ì£o..m.lig.,IN024_AE...Ìçndice.de.atendimento.urbano.de.esgoto.referido.aos.municÌ_pios.atendidos.com.ÌÁgua..percentual.,indiceDeEsgotoTratadoReferidoAguaConsumidaPercentual,IN047_AE...Ìçndice.de.atendimento.urbano.de.esgoto.referido.aos.municÌ_pios.atendidos.com.esgoto..percentual.,IN056_AE...Ìçndice.de.atendimento.total.de.esgoto.referido.aos.municÌ_pios.atendidos.com.ÌÁgua..percentual.,IN059_AE...Ìçndice.de.consumo.de.energia.elÌ©trica.em.sistemas.de.esgotamento.sanitÌÁrio..kWh.m..,GEOCODIGO
220635,Milton BrandÌ£o,PI,2015,[22063511] Prefeitura Municipal de Milton BrandÌ£o - PMMB; [22063540] PREFEITURA MUNICIPAL DE MILTON BRANDAO - PMMB,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2206357
220650,Monsenhor HipÌ_lito,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA; [22065040] Prefeitura Municipal de Monsenhor HipÌ_lito - PMMH,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2206506
220665,Morro CabeÌ_a no Tempo,PI,2015,,,NA,NA,NA,NA,NA,NA,NA,NA,2206654
220670,NazarÌ© do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2206704
220690,Novo Oriente do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2206902
220700,Oeiras,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA; [22070040] Prefeitura Municipal - PM,ÌÅgua e Esgoto; Res SÌ_lidos,33.58,100,6.64,40.49,33.58,40.49,24.99,0.72,2207009
220720,Padre Marcos,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2207207
220730,Paes Landim,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA; [22073040] Prefeitura Municipal de Paes Landim - PMPL,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2207306
220735,PajeÌ_ do PiauÌ_,PI,2015,[22073511] Prefeitura Municipal de Pajeu do PiauÌ_ - PMPP,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2207355
220740,Palmeira do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2207405
220755,PaquetÌÁ,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2207553
220777,Patos do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2207777
220780,Paulistana,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2207801
220785,Pavussu,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2207850
220790,Pedro II,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2207900
220793,Pedro Laurentino,PI,2015,,,NA,NA,NA,NA,NA,NA,NA,NA,2207934
220795,Nova Santa Rita,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2207959
220800,Picos,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua e Esgoto,26.21,100,8.92,31.77,26.21,31.77,25.23,0.07,2208007
220810,Pimenteiras,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA; [22081040] Prefeitura Municipal de Pimenteiras - PMP,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2208106
220820,Pio IX,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA; [22082040] Prefeitura Municipal de Pio Ix - PMPI,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2208205
220830,Piracuruca,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA; [22083040] SECRETARIA MUNICIPAL DE MEIO AMBIENTE - SMMA,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2208304
220865,Queimada Nova,PI,2015,,,NA,NA,NA,NA,NA,NA,NA,NA,2208650
220870,RedenÌ_Ì£o do GurguÌ©ia,PI,2015,[22087011] Prefeitura Municipal de RedenÌ_Ì£o do GurguÌ©ia - PMRG; [22087040] Prefeitura Municipal de RedenÌ_Ì£o do GurguÌ©ia - PMRG,Esgoto; Res SÌ_lidos,NA,0,16,NA,NA,0.92,NA,0,2208700
220887,Ribeira do PiauÌ_,PI,2015,,,NA,NA,NA,NA,NA,NA,NA,NA,2208874
220900,Rio Grande do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2209005
220910,Santa Cruz do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2209104
220915,Santa Cruz dos Milagres,PI,2015,[22091511] Prefeitura Municipal de Santa Cruz dos Milagres - PMSCM; [22091540] SECRETARIA DE AGRICULTURA - SA,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2209153
220930,Santa Luz,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2209302
220935,Santana do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2209351
220937,Santa Rosa do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA; [22093740] Prefeitura Municipal de Santa Rosa do PiauÌ_ - PMSR,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2209377
220940,Santo AntÌ«nio de Lisboa,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2209401
220950,Santo InÌÁcio do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2209500
220955,SÌ£o Braz do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2209559
220965,SÌ£o Francisco de Assis do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA; [22096540] PREFEITURA MUNICIPAL DE SÌÄO FRANCISCO DE ASSIS DO PIAUÌç - PMSFA,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2209658
220970,SÌ£o Francisco do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2209708
220985,SÌ£o JoÌ£o da Canabrava,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA; [22098540] PREFEITURA MUNICIPAL DE SAO JOAO DA CANABRAVA - PMSJC,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2209856
220987,SÌ£o JoÌ£o da Fronteira,PI,2015,,,NA,NA,NA,NA,NA,NA,NA,NA,2209872
220990,SÌ£o JoÌ£o da Serra,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2209906
220995,SÌ£o JoÌ£o da Varjota,PI,2015,[22099511] Prefeitura Municipal de SÌ£o JoÌ£o da Varjota - PMSJV; [22099540] SECRETARIA DE SAÌ_DE - SSSV,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2209955
221000,SÌ£o JoÌ£o do PiauÌ_,PI,2015,[22100011] Prefeitura Municipal de SÌ£o JoÌ£o do PiauÌ_ - PMSJP; [22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,Esgoto; ÌÅgua,44.36,0,9.6,97.03,0,97.03,79.42,1,2210003
221005,SÌ£o JosÌ© do Divino,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2210052
221010,SÌ£o JosÌ© do Peixe,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2210102
221020,SÌ£o JosÌ© do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2210201
221030,SÌ£o JuliÌ£o,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA; [22103040] Prefeitura MUNICIPAL DE SÌÄO JULIÌÄO - pmsj,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2210300
221035,SÌ£o LourenÌ_o do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2210359
221037,SÌ£o Luis do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2210375
221039,SÌ£o Miguel do Fidalgo,PI,2015,[22103940] PREFEITURA MUNICIPAL DE SÌÄO MIGUEL DO FIDALGO - PMSMF,Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2210391
221040,SÌ£o Miguel do Tapuio,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2210409
221060,SÌ£o Raimundo Nonato,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA; [22106040] DEPARTAMENTO DE LIMPEZA URBANA - DLU,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2210607
221063,SebastiÌ£o Leal,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA; [22106340] Prefeitura Municipal de SebastiÌ£o Leal - PMSL,ÌÅgua; Res SÌ_lidos,NA,NA,NA,NA,NA,NA,NA,NA,2210631
221070,SimÌµes,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2210706
221080,SimplÌ_cio Mendes,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2210805
221090,Socorro do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2210904
221093,Sussuapara,PI,2015,,,NA,NA,NA,NA,NA,NA,NA,NA,2210938
221095,Tamboril do PiauÌ_,PI,2015,,,NA,NA,NA,NA,NA,NA,NA,NA,2210953
221097,Tanque do PiauÌ_,PI,2015,,,NA,NA,NA,NA,NA,NA,NA,NA,2210979
221130,ValenÌ_a do PiauÌ_,PI,2015,[22110000] ÌÅguas e Esgotos do PiauÌ_ S/A - AGESPISA,ÌÅgua,NA,NA,NA,NA,NA,NA,NA,NA,2211308
